nodeID,frameIndex,dataIndex,nodeName,dataName,nodeID,numData,dataTimeout,enableTelemCallback,min,max,bitLength,minCritical,maxCritical,minWarning,maxWarning,crit_count_max,enumVal
3,0,0,precharge,battery_V,3,5,500,0,-100,923,10,80,923,120,923,1,
3,0,1,precharge,motor_V,3,5,500,0,-100,923,10,80,923,120,923,1,
3,0,2,precharge,prechargeState,3,5,500,0,0,2,2,0,2,0,2,0,prechargeState
3,0,3,precharge,contactorState,3,5,500,0,0,2,2,0,2,0,2,0,prechargeState
3,0,4,precharge,prechargeLatched,3,5,500,0,0,1,1,0,1,0,1,0,
8,0,0,pedalSensor,pedalPowerReadingmV,8,5,5000,0,-30000,35000,16,-30000,35000,4700,7100,0,
8,0,1,pedalSensor,pedalReadingOne,8,5,5000,0,-20,120,8,5,95,20,80,1,
8,0,2,pedalSensor,pedalReadingTwo,8,5,5000,0,-20,120,8,5,95,20,80,1,
8,0,3,pedalSensor,brakeReading,8,5,5000,0,-20,120,8,-20,120,-10,110,0,
8,0,4,pedalSensor,SDIO_det_pin,8,5,5000,0,0,1,1,0,1,0,1,0,
9,0,0,IMU,IMU_temp_F,9,4,500,1,-100,923,10,-100,923,-100,923,0,
9,0,1,IMU,radiator_temp_F,9,4,500,1,-100,923,10,-100,923,-100,923,0,
9,0,2,IMU,humiditySense_temp_F,9,4,500,1,-100,923,10,-100,923,-100,923,0,
9,0,3,IMU,RH,9,4,500,1,-55,200,8,-55,200,0,100,0,
9,1,0,IMU,posX_m,9,3,5000,0,-1048576,1048575,21,-1048576,1048575,-1048576,1048575,0,
9,1,1,IMU,posY_m,9,3,5000,0,-1048576,1048575,21,-1048576,1048575,-1048576,1048575,0,
9,1,2,IMU,posZ_m,9,3,5000,0,-1048576,1048575,21,-1048576,1048575,-1048576,1048575,0,
9,2,0,IMU,accelY_mm_p_ss,9,5,5000,0,-32768,32767,16,-32768,32767,-32768,32767,0,
9,2,1,IMU,accelZ_mm_p_ss,9,5,5000,0,-32768,32767,16,-32768,32767,-32768,32767,0,
9,2,2,IMU,gyroX_deg_p_s,9,5,5000,0,-128,127,8,-128,127,-128,127,0,
9,2,3,IMU,gryoY_deg_p_s,9,5,5000,0,-128,127,8,-128,127,-128,127,0,
9,2,4,IMU,gyroZ_deg_p_s,9,5,5000,0,-128,127,8,-128,127,-128,127,0,
10,0,0,powerDistribution,LV_Battery_mV,10,2,500,0,-22768,42767,16,-22768,42767,-22768,42767,0,
10,0,1,powerDistribution,LV_Battery_mA,10,2,500,0,-32768,32767,16,-32768,32767,-32768,32767,0,
10,1,0,powerDistribution,CoolantPumpAvgCurrent_mA,10,5,1000,0,-32768,32767,16,-32768,32767,-32768,32767,0,
10,1,1,powerDistribution,CoolantPumpPeakCurrent_mA,10,5,1000,0,-32768,32767,16,-32768,32767,-32768,32767,0,
10,1,2,powerDistribution,CoolantPump_Freq_kHz,10,5,1000,0,0,255,8,0,255,0,255,0,
10,1,3,powerDistribution,CoolantPumpDutyCycle,10,5,1000,0,0,100,7,0,100,0,100,0,
10,1,4,powerDistribution,CoolantDriver_Fault,10,5,1000,0,0,1,1,0,1,0,1,0,
11,0,0,APSensorESP,airPressure,11,1,1500,0,-2147483648,2147483647,32,5,95,20,80,1,
0,0,0,vitals,HBTiming_slowestNode1_ID,0,0,3000,0,0,127,7,0,127,0,100,0,0
0,0,1,vitals,HBTiming_slowestNode1_time,0,0,3000,0,0,1023,10,0,1023,0,1023,0,0
0,0,2,vitals,HBTiming_slowestNode2_ID,0,0,3000,0,0,127,7,0,127,0,100,0,0
0,0,3,vitals,HBTiming_slowestNode2_time,0,0,3000,0,0,1023,10,0,1023,0,1023,0,0
0,0,4,vitals,HBTiming_slowestNode3_ID,0,0,3000,0,0,127,7,0,127,0,100,0,0
0,0,5,vitals,HBTiming_slowestNode3_time,0,0,3000,0,0,1023,10,0,1023,0,1023,0,0
0,2,1,vitals,BusStatus_TWAI_TX_Err_Cnt,0,0,3000,0,-10,245,8,-10,245,-10,245,0,0
0,2,2,vitals,BusStatus_TWAI_RX_Err_Cnt,0,0,3000,0,0,255,8,0,255,0,255,0,0
0,2,3,vitals,BusStatus_TWAI_Err_Cnt,0,0,3000,0,0,4095,12,0,4095,0,4095,0,0
0,2,4,vitals,BusStatus_failed_TX_Cnt,0,0,3000,0,0,4095,12,0,4095,0,4095,0,0
0,2,5,vitals,BusStatus_RX_Overrun_Cnt,0,0,3000,0,0,2047,11,0,2047,0,2047,0,0
0,2,6,vitals,BusStatus_RX_Missed_Cnt,0,0,3000,0,0,2047,11,0,2047,0,2047,0,0
0,2,7,vitals,BusStatus_RX_Recv_Queue_Cnt,0,0,3000,0,0,15,4,0,15,0,15,0,0
